table_name_in_db,table_name_in_databrick,system_name,business_unit,system_owner,data_owner,partition_information,synchronization_type
dbo.FC40_BasketDocumentDetails,basketdocumentdetails,fc40,wineco,khiemhd@crownx.masangroup.com,khiemhd@crownx.masangroup.com,,Batch
dbo.FC40_BasketDocuments,basketdocuments,fc40,wineco,khiemhd@crownx.masangroup.com,khiemhd@crownx.masangroup.com,,Batch
dbo.FC40_BasketInventories,basketinventories,fc40,wineco,khiemhd@crownx.masangroup.com,khiemhd@crownx.masangroup.com,,Batch
dbo.FC40_CancellationRequestReceiptDetails,cancellationrequestreceiptdetails,fc40,wineco,khiemhd@crownx.masangroup.com,khiemhd@crownx.masangroup.com,,Batch
dbo.FC40_CancellationRequestReceipts,cancellationrequestreceipts,fc40,wineco,khiemhd@crownx.masangroup.com,khiemhd@crownx.masangroup.com,,Batch
dbo.FC40_Customer,customer,fc40,wineco,khiemhd@crownx.masangroup.com,khiemhd@crownx.masangroup.com,,Batch
dbo.FC40_Customer_backup,customer_backup,fc40,wineco,khiemhd@crownx.masangroup.com,khiemhd@crownx.masangroup.com,,Batch
dbo.FC40_DailyBasketInventories,dailybasketinventories,fc40,wineco,khiemhd@crownx.masangroup.com,khiemhd@crownx.masangroup.com,,Batch
dbo.FC40_DeliveryOrderBaskets,deliveryorderbaskets,fc40,wineco,khiemhd@crownx.masangroup.com,khiemhd@crownx.masangroup.com,,Batch
dbo.FC40_DeliveryOrderQualityManagement,deliveryorderqualitymanagement,fc40,wineco,khiemhd@crownx.masangroup.com,khiemhd@crownx.masangroup.com,,Batch
dbo.FC40_DeliveryOrderQualityManagementDetail,deliveryorderqualitymanagementdetail,fc40,wineco,khiemhd@crownx.masangroup.com,khiemhd@crownx.masangroup.com,,Batch
dbo.FC40_DeliveryOrderQualityManagementDetailImageStorage,deliveryorderqualitymanagementdetailimagestorage,fc40,wineco,khiemhd@crownx.masangroup.com,khiemhd@crownx.masangroup.com,,Batch
